,1-Gram,Occurence1,2-Gram,Occurence2,3-Gram,Occurence3,4-Gram,Occurence4
0,nn,2272.0,dt nn,1109,in dt nn,601,nn in dt nn,298
1,dt,1900.0,in dt,1007,nn in dt,453,dt nn in dt,274
2,in,1755.0,nn in,729,dt nn in,391,in dt nn in,198
3,rb,1707.0,rb rb,452,dt jj nn,279,in dt jj nn,156
4,prp,664.0,jj nn,401,dt nn nn,217,rb rb rb rb,138
5,jj,623.0,nn rb,363,to dt nn,212,in dt nn nn,136
6,to,564.0,rb in,356,in dt jj,193,dt jj nn in,116
7,vbp,542.0,dt jj,352,rb in dt,192,rb in dt nn,109
8,vb,515.0,nn nn,345,rb rb rb,190,in dt nn rb,103
9,fw,507.0,to dt,301,rb fw vbp,172,to dt nn in,97
10,cc,327.0,fw vbp,288,dt nn rb,150,jj nn in dt,95
11,vbz,271.0,rb fw,274,jj nn in,145,nn in dt jj,82
12,vbg,258.0,in prp,237,fw vbp vbg,107,nn rb fw vbp,70
13,nns,205.0,nn cc,146,nn rb fw,103,rb fw vbp vbg,68
14,vbn,162.0,nn dt,144,nn in prp,98,nn to dt nn,60
15,cd,88.0,vbp vbg,139,nn rb in,90,dt nn in prp,57
16,ls,88.0,to vb,136,nn to dt,83,rb to dt nn,55
17,rp,79.0,prp vbp,128,nn dt nn,80,nn rb in dt,51
18,wrb,71.0,cc rb,123,nn nn in,77,nn nn in dt,50
19,uh,70.0,nn to,121,rb rb in,72,dt jj nn rb,50
20,md,69.0,vb rb,112,nn nn rb,72,dt nn nn in,49
21,vbd,47.0,rb vb,107,rb to dt,70,dt nn nn rb,48
22,wdt,32.0,vb in,102,jj nn rb,66,rb in dt jj,40
23,ex,27.0,prp vbz,98,nn rb rb,65,fw vbp vbg rb,39
24,pos,19.0,rb to,94,rb rb fw,65,rb rb fw vbp,39
25,wp,16.0,prp rb,89,dt nn cc,63,fw vbp to vb,38
26,jjr,8.0,vbp rb,85,vb in dt,55,dt nn to dt,37
27,pdt,8.0,in in,84,in in dt,53,dt nn rb fw,35
28,jjs,7.0,in rb,82,dt nn to,51,dt nn rb in,35
29,nnp,3.0,fw vb,79,in prp rb,50,in in dt nn,32
30,sym,3.0,vbg rb,77,nn nn nn,50,dt nn rb rb,32
31,rbr,2.0,in nn,76,dt nn dt,49,to dt jj nn,32
32,rbs,1.0,dt nns,70,in dt nns,48,rb rb in dt,31
33,,,dt vbn,69,vbp vbg rb,48,dt nn dt nn,31
34,,,in to,66,in to dt,48,in dt vbn nn,31
35,,,vbg in,65,nn cc rb,47,in dt nn cc,30
36,,,dt vbz,64,fw vbp to,46,in to dt nn,30
37,,,rb cc,64,fw vbp rb,45,fw vbp vbg in,30
38,,,vbp to,62,vbp to vb,44,to dt nn to,29
39,,,rb dt,60,dt vbn nn,44,nn nn rb fw,29
40,,,prp in,60,in dt vbn,43,vb in dt nn,28
41,,,vbp prp,59,vb dt nn,43,in prp in prp,27
42,,,vb dt,58,rb cc rb,42,vbg in dt nn,27
43,,,nn prp,58,to dt jj,42,rb fw vbp rb,27
44,,,vbz in,58,vb rb rb,41,rb fw vbp to,26
45,,,rb jj,57,in prp in,41,prp vbp prp to,26
46,,,prp to,57,rb fw vb,39,dt nn nn nn,25
47,,,dt dt,56,rb in prp,38,to dt nn rb,25
48,,,dt rb,56,vbp vbg in,38,nn dt nn in,24
49,,,rb prp,56,rb prp vbp,37,jj nn in prp,23
