,1-Gram,Occurence1,2-Gram,Occurence2,3-Gram,Occurence3,4-Gram,Occurence4
0,nn,0.17598760650658404,dt nn,0.08590905569757533,in dt nn,0.04656027269910133,nn in dt nn,0.023088246687843806
1,dt,0.14717273431448488,in dt,0.07800759160275776,nn in dt,0.03509451502943911,dt nn in dt,0.021228790578755714
2,in,0.13594113090627422,nn in,0.05647222867766674,dt nn in,0.030291292221877906,in dt nn in,0.015340512899976757
3,rb,0.1322230828814872,rb rb,0.03501433108683864,dt jj nn,0.02161450263402541,in dt jj nn,0.012086464709072596
4,prp,0.051432997676219984,jj nn,0.031063599039429856,dt nn nn,0.016811279826464208,rb rb rb rb,0.010691872627256528
5,jj,0.0482571649883811,nn rb,0.028119916337438995,to dt nn,0.01642392314843508,in dt nn nn,0.010536917951499187
6,to,0.043687064291247094,rb in,0.027577658997598575,in dt jj,0.014951967771924387,dt jj nn in,0.008987371193925777
7,vbp,0.04198295894655306,dt jj,0.027267797660546905,rb in dt,0.014874496436318562,rb in dt nn,0.008445029828775083
8,vb,0.03989155693261038,nn nn,0.026725540320706485,rb rb rb,0.01471955376510691,in dt nn rb,0.007980165801503061
9,fw,0.03927188226181255,to dt,0.02331706561313812,rb fw vbp,0.013325069724202046,to dt nn in,0.007515301774231037
10,cc,0.025329202168861347,fw vbp,0.022310016267720195,dt nn rb,0.011620700340873877,jj nn in dt,0.007360347098473697
11,vbz,0.02099147947327653,rb fw,0.021225501588039354,jj nn in,0.011233343662844748,nn in dt jj,0.00635314170605098
12,vbg,0.019984508133230054,in prp,0.01835928422031141,fw vbp vbg,0.008289432909823365,nn rb fw vbp,0.0054234136515069345
13,nns,0.015879163439194422,nn cc,0.011309938802385932,nn rb fw,0.007979547567400063,rb fw vbp vbg,0.005268458975749593
14,vbn,0.01254841208365608,nn dt,0.011155008133860098,nn in prp,0.007592190889370932,nn to dt nn,0.004648640272720229
15,cd,0.006816421378776143,vbp vbg,0.010767681462545512,nn rb in,0.006972420204524326,dt nn in prp,0.004416208259084218
16,ls,0.006816421378776143,to vb,0.010535285459756759,nn to dt,0.0064301208552835455,rb to dt nn,0.004261253583326877
17,rp,0.0061192873741285824,prp vbp,0.00991556278565342,nn dt nn,0.006197706848466067,nn rb in dt,0.003951344231812195
18,wrb,0.005499612703330751,cc rb,0.009528236114338834,nn nn in,0.00596529284164859,nn nn in dt,0.0038738668939335245
19,uh,0.005422153369481022,nn to,0.009373305445813,rb rb in,0.005577936163619461,dt jj nn rb,0.0038738668939335245
20,md,0.005344694035631294,vb rb,0.008676117437446743,nn nn rb,0.005577936163619461,dt nn nn in,0.003796389556054854
21,vbd,0.003640588690937258,rb vb,0.008288790766132157,rb to dt,0.005422993492407809,dt nn nn rb,0.0037189122181761833
22,wdt,0.0024786986831913244,vb in,0.007901464094817569,jj nn rb,0.005113108149984506,rb in dt jj,0.0030990935151468195
23,ex,0.00209140201394268,prp vbz,0.0075916027577659,nn rb rb,0.0050356368143786795,fw vbp vbg rb,0.003021616177268149
24,pos,0.001471727343144849,rb to,0.00728174142071423,rb rb fw,0.0050356368143786795,rb rb fw vbp,0.003021616177268149
25,wp,0.0012393493415956622,prp rb,0.006894414749399644,dt nn cc,0.004880694143167028,fw vbp to vb,0.0029441388393894787
26,jjr,0.0006196746707978311,vbp rb,0.006584553412347974,vb in dt,0.004260923458320421,dt nn to dt,0.002866661501510808
27,pdt,0.0006196746707978311,in in,0.006507088078085057,in in dt,0.00410598078710877,dt nn rb fw,0.0027117068257534673
28,jjs,0.0005422153369481022,in rb,0.006352157409559222,dt nn to,0.003951038115897118,dt nn rb in,0.0027117068257534673
29,nnp,0.00023237800154918669,fw vb,0.00611976140677047,in prp rb,0.0038735667802912922,in in dt nn,0.002479274812117456
30,sym,0.00023237800154918669,vbg rb,0.0059648307382446355,nn nn nn,0.0038735667802912922,dt nn rb rb,0.002479274812117456
31,rbr,0.00015491866769945777,in nn,0.005887365403981718,dt nn dt,0.003796095444685466,to dt jj nn,0.002479274812117456
32,rbs,7.745933384972889e-05,dt nns,0.005422573398404214,in dt nns,0.0037186241090796405,rb rb in dt,0.002401797474238785
33,,,dt vbn,0.005345108064141297,vbp vbg rb,0.0037186241090796405,dt nn dt nn,0.002401797474238785
34,,,in to,0.005112712061352545,in to dt,0.0037186241090796405,in dt vbn nn,0.002401797474238785
35,,,vbg in,0.005035246727089627,nn cc rb,0.003641152773473815,in dt nn cc,0.0023243201363601146
36,,,dt vbz,0.00495778139282671,fw vbp to,0.003563681437867989,in to dt nn,0.0023243201363601146
37,,,rb cc,0.00495778139282671,fw vbp rb,0.003486210102262163,fw vbp vbg in,0.0023243201363601146
38,,,vbp to,0.004802850724300875,vbp to vb,0.003408738766656337,to dt nn to,0.0022468427984814444
39,,,rb dt,0.004647920055775041,dt vbn nn,0.003408738766656337,nn nn rb fw,0.0022468427984814444
40,,,prp in,0.004647920055775041,in dt vbn,0.0033312674310505114,vb in dt nn,0.0021693654606027737
41,,,vbp prp,0.004570454721512123,vb dt nn,0.0033312674310505114,in prp in prp,0.002091888122724103
42,,,vb dt,0.004492989387249206,rb cc rb,0.0032537960954446853,vbg in dt nn,0.002091888122724103
43,,,nn prp,0.004492989387249206,to dt jj,0.0032537960954446853,rb fw vbp rb,0.002091888122724103
44,,,vbz in,0.004492989387249206,vb rb rb,0.0031763247598388597,rb fw vbp to,0.002014410784845433
45,,,rb jj,0.004415524052986289,in prp in,0.0031763247598388597,prp vbp prp to,0.002014410784845433
46,,,prp to,0.004415524052986289,rb fw vb,0.003021382088627208,dt nn nn nn,0.0019369334469667623
47,,,dt dt,0.004338058718723371,rb in prp,0.002943910753021382,to dt nn rb,0.0019369334469667623
48,,,dt rb,0.004338058718723371,vbp vbg in,0.002943910753021382,nn dt nn in,0.0018594561090880916
49,,,rb prp,0.004338058718723371,rb prp vbp,0.0028664394174155563,jj nn in prp,0.0017819787712094212
