,1-Gram,Occurence1,2-Gram,Occurence2,3-Gram,Occurence3,4-Gram,Occurence4
0,acknowledge,5605.0,instruct acknowledge,1939,instruct acknowledge instruct,850,instruct acknowledge instruct acknowledge,411
1,instruct,4267.0,acknowledge instruct,1753,acknowledge instruct acknowledge,826,acknowledge instruct acknowledge instruct,401
2,reply_y,3230.0,check reply_y,1102,ready instruct acknowledge,404,acknowledge ready instruct acknowledge,178
3,explain,2160.0,align reply_y,896,acknowledge ready instruct,371,ready instruct acknowledge instruct,168
4,check,2137.0,ready instruct,869,instruct check reply_y,346,acknowledge instruct check reply_y,153
5,ready,2062.0,explain acknowledge,821,check reply_y acknowledge,338,align reply_y instruct acknowledge,136
6,align,1778.0,query_yn reply_y,750,reply_y instruct acknowledge,283,reply_y instruct acknowledge instruct,127
7,query_yn,1758.0,acknowledge ready,708,align reply_y instruct,282,instruct acknowledge instruct check,118
8,clarify,1193.0,reply_y acknowledge,703,instruct acknowledge align,274,reply_y acknowledge instruct acknowledge,117
9,reply_w,916.0,acknowledge align,626,acknowledge instruct check,263,reply_y ready instruct acknowledge,116
10,reply_n,884.0,instruct check,619,acknowledge align reply_y,262,instruct check reply_y acknowledge,110
11,query_w,772.0,reply_y instruct,592,reply_y acknowledge instruct,237,instruct acknowledge instruct query_yn,110
12,uncodable,322.0,acknowledge explain,571,acknowledge explain acknowledge,231,acknowledge instruct acknowledge align,102
13,,,clarify acknowledge,563,reply_y ready instruct,228,check reply_y clarify acknowledge,100
14,,,acknowledge acknowledge,539,acknowledge instruct query_yn,205,instruct acknowledge align reply_y,99
15,,,query_yn reply_n,456,instruct acknowledge acknowledge,201,acknowledge align reply_y instruct,95
16,,,instruct query_yn,411,explain acknowledge explain,201,acknowledge instruct query_yn reply_y,94
17,,,reply_y ready,404,check reply_y clarify,190,explain acknowledge explain acknowledge,93
18,,,query_w reply_w,400,acknowledge check reply_y,184,align reply_y align reply_y,91
19,,,reply_w acknowledge,400,instruct query_yn reply_y,183,query_yn reply_y acknowledge instruct,91
20,,,acknowledge query_yn,391,query_yn reply_y acknowledge,177,instruct acknowledge ready instruct,87
21,,,acknowledge check,346,explain acknowledge instruct,170,query_yn reply_y ready instruct,85
22,,,instruct align,341,instruct acknowledge ready,170,instruct acknowledge align instruct,83
23,,,reply_y clarify,295,acknowledge query_yn reply_y,170,check reply_y acknowledge instruct,82
24,,,reply_y explain,284,query_w reply_w acknowledge,170,explain acknowledge instruct acknowledge,81
25,,,ready explain,283,instruct align reply_y,162,instruct acknowledge acknowledge instruct,80
26,,,reply_y check,269,query_yn reply_n acknowledge,156,instruct align reply_y instruct,79
27,,,check clarify,246,acknowledge acknowledge instruct,155,align reply_y ready instruct,78
28,,,align instruct,244,reply_y clarify acknowledge,148,instruct check reply_y clarify,73
29,,,ready query_yn,244,align reply_y ready,147,ready instruct check reply_y,72
30,,,acknowledge clarify,239,reply_y check reply_y,145,check reply_y check reply_y,71
31,,,instruct explain,237,reply_y align reply_y,143,instruct acknowledge check reply_y,71
32,,,reply_y align,231,align reply_y align,141,acknowledge instruct acknowledge acknowledge,70
33,,,reply_n acknowledge,229,acknowledge clarify acknowledge,140,acknowledge check reply_y acknowledge,68
34,,,explain instruct,228,instruct acknowledge query_yn,137,acknowledge instruct acknowledge ready,66
35,,,explain ready,217,check reply_y check,136,ready instruct acknowledge align,64
36,,,explain explain,214,acknowledge align instruct,134,acknowledge instruct acknowledge query_yn,64
37,,,check reply_n,199,instruct acknowledge check,125,clarify acknowledge clarify acknowledge,64
38,,,reply_y query_yn,194,ready instruct check,125,instruct acknowledge query_yn reply_y,64
39,,,instruct ready,193,reply_y explain acknowledge,123,explain acknowledge ready instruct,63
