,1-Gram,Occurence1,2-Gram,Occurence2,3-Gram,Occurence3,4-Gram,Occurence4
0,acknowledge,0.20694875203071925,instruct acknowledge,0.07159472731972086,instruct acknowledge instruct,0.03138616054944243,instruct acknowledge instruct acknowledge,0.015176692145784867
1,instruct,0.15754689115344853,acknowledge instruct,0.06472695048554444,acknowledge instruct acknowledge,0.030499963075105236,acknowledge instruct acknowledge instruct,0.014807429563162364
2,reply_y,0.11925860286516024,check reply_y,0.040689731565926965,ready instruct acknowledge,0.014917657484676168,acknowledge ready instruct acknowledge,0.006572873970680551
3,explain,0.07975188303057155,align reply_y,0.03308348410441975,acknowledge ready instruct,0.013699135957462522,ready instruct acknowledge instruct,0.006203611388058048
4,check,0.07890267316496824,ready instruct,0.03208654875752317,instruct check reply_y,0.012776013588361274,acknowledge instruct check reply_y,0.005649717514124294
5,ready,0.07613351055974006,explain acknowledge,0.030314219251929255,check reply_y acknowledge,0.012480614430248874,align reply_y instruct acknowledge,0.005021971123666039
6,align,0.0656476148279427,query_yn reply_y,0.027692648524904922,reply_y instruct acknowledge,0.010449745218226128,reply_y instruct acknowledge instruct,0.004689634799305786
7,query_yn,0.06490917146654851,acknowledge ready,0.026141860207510248,align reply_y instruct,0.010412820323462078,instruct acknowledge instruct check,0.004357298474945534
8,clarify,0.0440481465071629,reply_y acknowledge,0.025957242550677547,instruct acknowledge align,0.010117421165349678,reply_y acknowledge instruct acknowledge,0.004320372216683284
9,reply_w,0.03382070595185349,acknowledge align,0.023114130635453974,acknowledge instruct check,0.00971124732294513,reply_y ready instruct acknowledge,0.004283445958421033
10,reply_n,0.032639196573622804,instruct check,0.022855665915888196,acknowledge align reply_y,0.00967432242818108,instruct check reply_y acknowledge,0.004061888408847532
11,query_w,0.02850391374981539,reply_y instruct,0.021858730568991618,reply_y acknowledge instruct,0.008751200059079832,instruct acknowledge instruct query_yn,0.004061888408847532
12,uncodable,0.011888938118446315,acknowledge explain,0.02108333641029428,acknowledge explain acknowledge,0.008529650690495532,acknowledge instruct acknowledge align,0.003766478342749529
13,,,clarify acknowledge,0.02078794815936196,reply_y ready instruct,0.008418876006203382,check reply_y clarify acknowledge,0.0036926258262250287
14,,,acknowledge acknowledge,0.019901783406565003,acknowledge instruct query_yn,0.007569603426630234,instruct acknowledge align reply_y,0.0036556995679627785
15,,,query_yn reply_n,0.016837130303142194,instruct acknowledge acknowledge,0.007421903847574034,acknowledge align reply_y instruct,0.0035079945349137773
16,,,instruct query_yn,0.015175571391647897,explain acknowledge explain,0.007421903847574034,acknowledge instruct query_yn reply_y,0.003471068276651527
17,,,reply_y ready,0.014917106672082119,check reply_y clarify,0.007015730005169485,explain acknowledge explain acknowledge,0.0034341420183892765
18,,,query_w reply_w,0.014769412546615958,acknowledge check reply_y,0.006794180636585186,align reply_y align reply_y,0.003360289501864776
19,,,reply_w acknowledge,0.014769412546615958,instruct query_yn reply_y,0.006757255741821136,query_yn reply_y acknowledge instruct,0.003360289501864776
20,,,acknowledge query_yn,0.014437100764317099,query_yn reply_y acknowledge,0.006535706373236836,instruct acknowledge ready instruct,0.003212584468815775
21,,,acknowledge check,0.012775541852822803,explain acknowledge instruct,0.006277232109888487,query_yn reply_y ready instruct,0.003138731952291274
22,,,instruct align,0.012590924195990104,instruct acknowledge ready,0.006277232109888487,instruct acknowledge align instruct,0.0030648794357667737
23,,,reply_y clarify,0.01089244175312927,acknowledge query_yn reply_y,0.006277232109888487,check reply_y acknowledge instruct,0.0030279531775045236
24,,,reply_y explain,0.010486282908097331,query_w reply_w acknowledge,0.006277232109888487,explain acknowledge instruct acknowledge,0.0029910269192422734
25,,,ready explain,0.01044935937673079,instruct align reply_y,0.005981832951776087,instruct acknowledge acknowledge instruct,0.0029541006609800228
26,,,reply_y check,0.009932429937599232,query_yn reply_n acknowledge,0.005760283583191788,instruct align reply_y instruct,0.0029171744027177726
27,,,check clarify,0.009083188716168814,acknowledge acknowledge instruct,0.005723358688427738,align reply_y ready instruct,0.0028802481444555224
28,,,align instruct,0.009009341653435735,reply_y clarify acknowledge,0.005464884425079389,instruct check reply_y clarify,0.002695616853144271
29,,,ready query_yn,0.009009341653435735,align reply_y ready,0.005427959530315339,ready instruct check reply_y,0.0026586905948820204
30,,,acknowledge clarify,0.008824723996603036,reply_y check reply_y,0.005354109740787239,check reply_y check reply_y,0.00262176433661977
31,,,instruct explain,0.008750876933869955,reply_y align reply_y,0.005280259951259139,instruct acknowledge check reply_y,0.00262176433661977
32,,,reply_y align,0.008529335745670715,align reply_y align,0.005206410161731039,acknowledge instruct acknowledge acknowledge,0.00258483807835752
33,,,reply_n acknowledge,0.008455488682937636,acknowledge clarify acknowledge,0.005169485266966989,acknowledge check reply_y acknowledge,0.0025109855618330196
34,,,explain instruct,0.008418565151571097,instruct acknowledge query_yn,0.005058710582674839,acknowledge instruct acknowledge ready,0.002437133045308519
35,,,explain ready,0.008012406306539157,check reply_y check,0.005021785687910789,ready instruct acknowledge align,0.0023632805287840185
36,,,explain explain,0.007901635712439539,acknowledge align instruct,0.00494793589838269,acknowledge instruct acknowledge query_yn,0.0023632805287840185
37,,,check reply_n,0.0073477827419414395,instruct acknowledge check,0.00461561184550624,clarify acknowledge clarify acknowledge,0.0023632805287840185
38,,,reply_y query_yn,0.0071631650851087395,ready instruct check,0.00461561184550624,instruct acknowledge query_yn reply_y,0.0023632805287840185
39,,,instruct ready,0.0071262415537422,reply_y explain acknowledge,0.00454176205597814,explain acknowledge ready instruct,0.002326354270521768
40,,,clarify check,0.00701547095964258,explain acknowledge ready,0.004504837161214091,acknowledge acknowledge ready instruct,0.0022525017539972675
41,,,instruct instruct,0.0068677768341764206,query_yn reply_y ready,0.004504837161214091,acknowledge align reply_y ready,0.0022525017539972675
42,,,instruct query_w,0.006720082708710261,ready query_yn reply_y,0.004430987371685991,acknowledge acknowledge instruct acknowledge,0.0021417229792105165
43,,,reply_n explain,0.006609312114610641,query_yn reply_y instruct,0.004394062476921941,acknowledge ready query_yn reply_y,0.0021047967209482663
44,,,ready align,0.006424694457777942,acknowledge query_yn reply_n,0.004357137582157891,reply_y acknowledge ready instruct,0.002067870462686016
45,,,explain check,0.005981612081379463,ready align reply_y,0.004320212687393841,acknowledge align instruct acknowledge,0.002067870462686016
46,,,ready check,0.005870841487279843,acknowledge acknowledge ready,0.004135588213573591,acknowledge instruct align reply_y,0.002067870462686016
47,,,query_yn reply_w,0.005760070893180224,acknowledge instruct align,0.004098663318809541,check reply_y acknowledge ready,0.001957091687899265
48,,,acknowledge query_w,0.005686223830447144,explain instruct acknowledge,0.004024813529281442,query_yn reply_y instruct acknowledge,0.001957091687899265
49,,,explain query_yn,0.0048739061403832665,check reply_y instruct,0.004024813529281442,acknowledge explain acknowledge explain,0.001957091687899265
50,,,reply_n clarify,0.004800059077650186,acknowledge instruct explain,0.003950963739753342,check reply_y instruct acknowledge,0.001920165429637015
51,,,explain align,0.004726212014917107,ready explain acknowledge,0.003914038844989292,acknowledge instruct query_yn reply_n,0.0018463129131125143
52,,,align check,0.004541594358084407,clarify acknowledge clarify,0.003877113950225242,clarify acknowledge instruct acknowledge,0.0018463129131125143
53,,,reply_y reply_y,0.004172359044419008,check clarify acknowledge,0.003877113950225242,instruct acknowledge instruct instruct,0.001809386654850264
54,,,align acknowledge,0.004135435513052468,reply_y acknowledge ready,0.003840189055461192,acknowledge instruct explain acknowledge,0.001809386654850264
55,,,acknowledge reply_y,0.0040246649189528486,instruct query_w reply_w,0.003692489476404992,reply_y instruct acknowledge align,0.0017724603965880137
56,,,clarify align,0.00361850607392091,acknowledge ready query_yn,0.0036555645816409425,instruct acknowledge instruct explain,0.0017724603965880137
57,,,check acknowledge,0.0033969648857216706,clarify acknowledge instruct,0.0036555645816409425,acknowledge instruct acknowledge explain,0.0017355341383257636
