"filename","speaker","uttNum","transcript","pos_tags","move","moveid"
"q1ec1.txt","g",1,"okay ","JJ","ready","q1ec1.g.move.1"
"q1ec1.txt","g",2,"starting off we are above a caravan park ","VBG IN PRP VBP IN DT NN NN","instruct","q1ec1.g.move.2"
"q1ec1.txt","f",3,"mmhmm ","NN","acknowledge","q1ec1.f.move.3"
"q1ec1.txt","g",4,"we are going to go due south straight south and then we're going to g-- turn straight back round and head north past an old mill on the right hand side ","PRP VBP VBG TO VB JJ RB JJ NN CC RB PRP VBP VBG TO VB RB RB JJ CC NN RB IN DT JJ NN IN DT JJ NN NN","instruct","q1ec1.g.move.4"
"q1ec1.txt","f",5,"due south and then back up again ","JJ RB CC RB RB RB RB","check","q1ec1.f.move.5"
"q1ec1.txt","g",6,"yeah ","NN","reply_y","q1ec1.g.move.6"
"q1ec1.txt","g",7,"south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill ","RB CC RB RB VB RP RB IN DT JJ NN IN DT NN CC PRP VBP VBG TO VB IN DT JJ NN IN DT NN","clarify","q1ec1.g.move.7"
"q1ec1.txt","f",8,"right okay ","RB JJ","acknowledge","q1ec1.f.move.8"
"q1ec1.txt","g",9,"okay ","JJ","align","q1ec1.g.move.9"
"q1ec1.txt","g",10,"and then we're going to turn east ","CC RB PRP VBP VBG TO VB JJ","instruct","q1ec1.g.move.10"
"q1ec1.txt","f",11,"mmhmm ","NN","acknowledge","q1ec1.f.move.11"
"q1ec1.txt","g",12,"not straight east slightly sort of northeast ","RB JJ JJ RB NN IN NN","instruct","q1ec1.g.move.12"
"q1ec1.txt","f",13,"s-- slightly northeast ","RB NN","check","q1ec1.f.move.13"
"q1ec1.txt","g",14,"slightly slightly yeah ","RB RB JJ","reply_y","q1ec1.g.move.14"
"q1ec1.txt","g",15,"very slightly ","RB RB","clarify","q1ec1.g.move.15"
"q1ec1.txt","g",16,"and we're going to continue straight along erm quite a wee dis-- a wee distance erm quite a wee distance right we're going to continue along on that course ","CC PRP VBP VBG TO VB RB IN UH RB DT NN DT NN NN UH RB DT NN NN NN PRP VBP VBG TO VB RP IN DT NN","instruct","q1ec1.g.move.16"
"q1ec1.txt","g",17,"and then we're going to turn north again ","CC RB PRP VBP VBG TO VB RB RB","instruct","q1ec1.g.move.17"
"q1ec1.txt","f",18,"mmhmm ","NN","acknowledge","q1ec1.f.move.18"
"q1ec1.txt","g",19,"and immediat-- well a distance below that turning point there's a fenced meadow ","CC RB DT NN IN IN VBG NN EX VBZ DT JJ NN","explain","q1ec1.g.move.19"
"q1ec1.txt","g",20,"but you should be avoiding that by quite a distance ","CC PRP MD VB VBG IN IN RB DT NN","instruct","q1ec1.g.move.20"
"q1ec1.txt","f",21,"okay ","JJ","acknowledge","q1ec1.f.move.21"
"q1ec1.txt","g",22,"okay so we've turned and we're going up north again ","JJ IN PRP VBP VBN CC PRP VBP VBG RP RB RB","align","q1ec1.g.move.22"
"q1ec1.txt","f",23,"mmhmm ","NN","reply_y","q1ec1.f.move.23"
"q1ec1.txt","g",24,"continue straight up north ","VB RB RB RB","instruct","q1ec1.g.move.24"
"q1ec1.txt","f",25,"mmhmm ","NN","acknowledge","q1ec1.f.move.25"
"q1ec1.txt","g",26,"and then we're going to turn to the west on a curvature right sort of ","CC RB PRP VBP VBG TO VB TO DT NN IN DT NN NN NN IN","instruct","q1ec1.g.move.26"
"q1ec1.txt","f",27,"okay ","JJ","acknowledge","q1ec1.f.move.27"
"q1ec1.txt","g",28,"""s"" bend and immediately below that bend there is an abandoned cottage ","NNS NN CC RB IN DT NN EX VBZ DT VBN NN","explain","q1ec1.g.move.30"
"q1ec1.txt","f",29,"mmhmm ","NN","acknowledge","q1ec1.f.move.29"
"q1ec1.txt","f",30,"okay ","JJ","acknowledge","q1ec1.f.move.31"
"q1ec1.txt","g",31,"and we're passing above the top of that ","CC PRP VBP VBG IN DT NN IN DT","instruct","q1ec1.g.move.32"
"q1ec1.txt","g",32,"we're going to continue in that sort of ""s"" shape a big wide ""s"" ","PRP VBP VBG TO VB IN DT NN IN NNS VBP DT JJ JJ NNS","instruct","q1ec1.g.move.33"
"q1ec1.txt","f",33,"mmhmm ","NN","acknowledge","q1ec1.f.move.34"
"q1ec1.txt","g",34,"and on the sort of mmhmm top erm left of that again below it there's a fenced meadow ","CC IN DT NN IN NN JJ UH VBN IN DT RB IN PRP EX VBZ DT JJ NN","explain","q1ec1.g.move.35"
"q1ec1.txt","g",35,"but you're passing on the top of that ","CC PRP VBP VBG IN DT NN IN DT","instruct","q1ec1.g.move.36"
"q1ec1.txt","g",36,"okay ","JJ","align","q1ec1.g.move.37"
"q1ec1.txt","g",37,"right okay ","RB JJ","ready","q1ec1.g.move.39"
"q1ec1.txt","f",38,"okay ","JJ","reply_y","q1ec1.f.move.38"
"q1ec1.txt","g",39,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah ","PRP VBP VBN IN DT VBN NN NN CC PRP VBP IN DT NN IN NNS NN NN","align","q1ec1.g.move.40"
"q1ec1.txt","f",40,"right ","RB","reply_y","q1ec1.f.move.41"
"q1ec1.txt","g",41,"right ","RB","acknowledge","q1ec1.g.move.42"
"q1ec1.txt","g",42,"and then at the top of the ""s"" we're turning north ","CC RB IN DT NN IN DT NNS PRP VBP VBG RB","instruct","q1ec1.g.move.43"
"q1ec1.txt","f",43,"mmhmm ","NN","acknowledge","q1ec1.f.move.44"
"q1ec1.txt","g",44,"okay ","JJ","align","q1ec1.g.move.45"
"q1ec1.txt","g",45,"we're going straight due north ","PRP VBP VBG RB JJ NN","instruct","q1ec1.g.move.46"
"q1ec1.txt","g",46,"at the top there there's a west lake ","IN DT JJ EX EX VBZ DT JJ NN","explain","q1ec1.g.move.47"
"q1ec1.txt","f",47,"okay ","JJ","acknowledge","q1ec1.f.move.48"
"q1ec1.txt","g",48,"which we're going to pass on the south erm southeast side ","WDT PRP VBP VBG TO VB IN DT JJ UH JJ NN","instruct","q1ec1.g.move.49"
"q1ec1.txt","f",49,"mmhmm ","NN","acknowledge","q1ec1.f.move.50"
"q1ec1.txt","g",50,"and we're going to do that in a curve almost a half ""u"" shape ","CC PRP VBP VBG TO VB DT IN DT NN RB DT NN NN NN","instruct","q1ec1.g.move.49.6"
