"","filename","speaker","uttNum","transcript","pos_tags","move","moveid"
"530","q1ec4.txt","f",16,"dow-- ","","check","q1ec4.f.move.17"
"3788","q1nc7.txt","f",428,"direc-- ","","check","q1nc7.f.move.460"
"14489","q5ec4.txt","f",3,"to-- ","","check","q5ec4.f.move.3"
"19022","q6nc2.txt","f",354,"and and the same sort of position ","CC CC DT JJ NN IN NN","check","q6nc2.f.move.360"
"15567","q5nc2.txt","f",65,"and and sloping to the left ","CC CC VBG TO DT NN","check","q5nc2.f.move.69"
"10277","q4ec5.txt","f",176,"and the the f-- the finish is just to the is between ","CC DT DT DT NN VBZ RB TO DT VBZ IN","check","q4ec5.f.move.220"
"13752","q4nc8.txt","f",181,"and the same line as the start to the bottom of the diamond line mine at the very beginning ","CC DT JJ NN IN DT NN TO DT NN IN DT NN NN NN IN DT JJ NN","check","q4nc8.f.move.194.9"
"20806","q7ec3.txt","f",25,"and no more aye ","CC DT JJR NN","check","q7ec3.f.move.26"
"9638","q4ec2.txt","f",155,"and this would be like sort of in the centre of the page ","CC DT MD VB IN NN IN IN DT NN IN DT NN","check","q4ec2.f.move.160"
"1531","q1nc1.txt","f",239,"and no forest ","CC DT NN","check","q1nc1.f.move.242"
"20472","q7ec1.txt","f",177,"and this stockade below it ","CC DT NN IN PRP","check","q7ec1.f.move.172"
"4317","q2ec2.txt","f",41,"but the meadow's below my broken gate ","CC DT NN POS IN PRP$ JJ NN","check","q2ec2.f.move.40"
"3379","q1nc7.txt","f",19,"and the start is above the caravan park right ","CC DT NN VBZ IN DT NN NN NN","check","q1nc7.f.move.20"
"2564","q1nc3.txt","f",189,"and that's at an angle of forty-five degrees ","CC DT VBZ IN DT NN IN CD NNS","check","q1nc3.f.move.202"
"224","q1ec2.txt","f",146,"and that's it ","CC DT VBZ PRP","check","q1ec2.f.move.151"
"22371","q7ec8.txt","f",420,"and that's it there ","CC DT VBZ PRP RB","check","q7ec8.f.move.452"
"23326","q7nc4.txt","f",216,"and that's it finished ","CC DT VBZ PRP VBD","check","q7nc4.f.move.243"
"1758","q1nc1.txt","f",466,"and i and then i trace it back round ","CC FW CC RB FW NN PRP RB VBP","check","q1nc1.f.move.473"
"26385","q8nc5.txt","f",113,"but i d-- i don't go along the bottom of the pine grove ","CC FW FW VBP RB VB IN DT NN IN DT VBP NN","check","q8nc5.f.move.118"
"20113","q6nc7.txt","f",201,"and i finish at the left of the pirate ship ","CC FW NN IN DT NN IN DT NN NN","check","q6nc7.f.move.213"
"2517","q1nc3.txt","f",142,"and i curve right round the fast flowing river then ","CC FW NN JJ NN DT JJ VBG NN RB","check","q1nc3.f.move.150"
"2687","q1nc3.txt","f",312,"and i go underneath the flat rocks ","CC FW VB IN DT JJ NNS","check","q1nc3.f.move.339"
"2843","q1nc4.txt","f",64,"and i go right as far as the pine ","CC FW VB RB RB RB IN DT VBP","check","q1nc4.f.move.66"
"26390","q8nc5.txt","f",118,"and i end up to the left of the concealed hideout ","CC FW VB RP TO DT NN IN DT VBN NN","check","q8nc5.f.move.123"
"16131","q5nc4.txt","f",289,"and i go to the old lighthouse ","CC FW VB TO DT JJ NNP","check","q5nc4.f.move.293"
"4698","q2ec4.txt","f",88,"and i was supposed to start above it there and come down through it ","CC FW VBD VBN TO VB IN PRP EX CC VB RP IN PRP","check","q2ec4.f.move.90"
"17974","q6ec5.txt","f",169,"or i'm no meant to be in the middle of the gazelles ","CC FW VBP DT VBN TO VB IN DT NN IN DT NNS","check","q6ec5.f.move.172.9"
"22272","q7ec8.txt","f",321,"and i've sort of s-- curved round to about there ","CC FW VBP NN IN JJ NN TO IN RB","check","q7ec8.f.move.344"
"11460","q4nc3.txt","f",77,"but i'm still up at i'm still up at the top of page ","CC FW VBP RB RB IN FW VBP RB RB IN DT NN IN NN","check","q4nc3.f.move.86"
"2453","q1nc3.txt","f",78,"and i have to curve underneath ","CC FW VBP TO NN IN","check","q1nc3.f.move.81"
"21592","q7ec6.txt","f",328,"and i want to draw a line from ","CC FW VBP TO VB DT NN IN","check","q7ec6.f.move.320"
"4893","q2ec5.txt","f",29,"and i want to stop directly below ","CC FW VBP TO VB RB RB","check","q2ec5.f.move.28"
"11971","q4nc4.txt","f",40,"but i want to go straight down to there ","CC FW VBP TO VB RB RB TO EX","check","q4nc4.f.move.44"
"19330","q6nc4.txt","f",47,"and i've to go to the right ","CC FW VBP TO VB TO DT NN","check","q6nc4.f.move.45"
"2930","q1nc4.txt","f",151,"and i'm going s-- am i going straight down ","CC FW VBP VBG RB FW VBG RB RB","check","q1nc4.f.move.154"
"6989","q2nc7.txt","f",231,"and i'm going straight down two inches ","CC FW VBP VBG RB IN CD NNS","check","q2nc7.f.move.248"
"13834","q4nc8.txt","f",263,"and i'm going to the bottom of the great lake so i'm sort of doing a a squiggly line ","CC FW VBP VBG TO DT NN IN DT JJ NN IN FW VBP NN IN VBG DT DT RB NN","check","q4nc8.f.move.280"
"7392","q3ec1.txt","f",158,"and below the parched river bed which i don't know if you have ","CC IN DT JJ NN NN WDT FW VBP RB VB IN PRP VBP","check","q3ec1.f.move.163"
"5206","q2ec6.txt","f",129,"but nearer the side of the page ","CC IN DT NN IN DT NN","check","q2ec6.f.move.131"
"13734","q4nc8.txt","f",163,"and down the side of it ","CC IN DT NN IN PRP","check","q4nc8.f.move.178"
"20760","q7ec2.txt","f",274,"ba-- but above the words chestnut tree ","CC IN DT NNS NN NN","check","q7ec2.f.move.271"
